"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\main.py", "Python", 41, 3, 4, 48
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\test.py", "Python", 44, 0, 7, 51
"Total", "-", 85, 3, 11, 99
