"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\build\main\xref-main.html", "HTML", 0, 92379, 0, 15236, 107615
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\account_page.py", "Python", 291, 0, 199, 50, 540
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\config.py", "Python", 0, 0, 15, 5, 20
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\main.py", "Python", 11, 0, 20, 1, 32
"Total", "-", 302, 92379, 234, 15292, 108207
