"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\db.py", "Python", 0, 2, 0, 2
"c:\Users\a_nto\OneDrive\Рабочий стол\NEW\ui\main.py", "Python", 1, -1, 1, 1
"Total", "-", 1, 1, 1, 3
